userid,gender,age,occupation,zipcode,age_desc,occ_desc
119,F,1,10,77515,Under 18,K-12 student
120,M,25,11,27106,25-34,lawyer
121,M,35,7,75229,35-44,executive/managerial
122,F,18,4,94305,18-24,college/grad student
123,M,35,9,67208,35-44,homemaker
124,M,56,7,91356,56+,executive/managerial
125,M,45,14,1701,45-49,sales/marketing
126,M,18,9,98117,18-24,homemaker
127,F,45,3,1770,45-49,clerical/admin
128,M,56,6,37922,56+,doctor/health care
129,M,25,11,20164,25-34,lawyer
130,M,35,17,50021,35-44,technician/engineer
131,M,18,4,6520,18-24,college/grad student
132,M,25,17,99709,25-34,technician/engineer
133,F,25,0,55071,25-34,other or not specified
134,M,25,0,66212,25-34,other or not specified
135,M,18,4,20006,18-24,college/grad student
136,M,18,2,21202,18-24,artist
137,F,45,6,78758,45-49,doctor/health care
138,M,18,20,22203,18-24,writer
139,F,25,20,45409,25-34,writer
140,F,35,1,55107,35-44,academic/educator
141,M,35,13,62035,35-44,retired
142,M,25,7,10011,25-34,executive/managerial
143,M,18,3,64043,18-24,clerical/admin
144,M,25,17,29401,25-34,technician/engineer
145,M,18,4,19081,18-24,college/grad student
146,F,35,20,10954,35-44,writer
147,M,18,4,91360,18-24,college/grad student
148,M,50,17,57747,50-55,technician/engineer
149,M,25,1,29205,25-34,academic/educator
150,M,35,7,98144,35-44,executive/managerial
151,F,25,20,85013,25-34,writer
152,M,18,4,48104,18-24,college/grad student
153,M,1,10,51537,Under 18,K-12 student
154,M,50,20,94530,50-55,writer
155,M,35,12,7470,35-44,programmer
156,F,45,7,14519,45-49,executive/managerial
157,M,35,16,12866,35-44,self-employed
158,M,56,7,28754,56+,executive/managerial
159,F,45,0,37922,45-49,other or not specified
160,M,35,7,13021,35-44,executive/managerial
161,M,45,16,98107-2117,45-49,self-employed
162,F,18,4,93117,18-24,college/grad student
163,M,18,4,85013,18-24,college/grad student
164,F,56,13,94566,56+,retired
165,M,18,16,98502,18-24,self-employed
166,M,18,4,92802,18-24,college/grad student
167,F,25,11,10022,25-34,lawyer
168,F,50,0,46970,50-55,other or not specified
169,M,25,7,55439,25-34,executive/managerial
170,M,25,11,7002,25-34,lawyer
171,F,50,17,55441,50-55,technician/engineer
172,M,25,3,7661,25-34,clerical/admin
173,M,25,0,45237,25-34,other or not specified
174,M,25,16,21203,25-34,self-employed
175,F,25,2,95123,25-34,artist
176,F,18,3,55016,18-24,clerical/admin
177,M,50,1,54016,50-55,academic/educator
178,M,56,17,53705,56+,technician/engineer
179,M,25,0,2135,25-34,other or not specified
180,M,45,12,1603,45-49,programmer
181,M,18,17,33186,18-24,technician/engineer
182,M,18,4,3052,18-24,college/grad student
183,F,45,1,55407,45-49,academic/educator
184,F,25,0,19001,25-34,other or not specified
185,M,45,0,14468,45-49,other or not specified
186,M,18,5,91767,18-24,customer service
187,F,45,1,94061,45-49,academic/educator
188,M,56,16,79930,56+,self-employed
189,M,18,0,60076,18-24,other or not specified
190,M,25,17,55125,25-34,technician/engineer
191,M,18,4,4915,18-24,college/grad student
192,M,18,1,10977,18-24,academic/educator
193,F,45,15,44106,45-49,scientist
194,F,1,10,29146,Under 18,K-12 student
195,M,25,12,10458,25-34,programmer
196,F,35,9,94587,35-44,homemaker
197,M,18,14,10023,18-24,sales/marketing
198,M,25,12,55108,25-34,programmer
199,M,18,4,83706,18-24,college/grad student
200,F,18,4,84321,18-24,college/grad student
201,F,35,2,55117,35-44,artist
202,M,18,4,53706,18-24,college/grad student
203,F,18,4,53715,18-24,college/grad student
204,M,25,7,92123,25-34,executive/managerial
205,M,35,12,97333,35-44,programmer
206,M,25,17,20194,25-34,technician/engineer
207,M,25,12,94115,25-34,programmer
208,M,35,17,55432,35-44,technician/engineer
209,M,35,1,90048,35-44,academic/educator
210,F,1,10,25801,Under 18,K-12 student
211,M,45,17,90620,45-49,technician/engineer
212,M,25,16,53714,25-34,self-employed
213,F,18,4,1609,18-24,college/grad student
214,M,18,20,80218,18-24,writer
215,M,35,14,92075,35-44,sales/marketing
216,M,45,13,52761,45-49,retired
217,M,18,4,22903,18-24,college/grad student
218,M,35,14,95822,35-44,sales/marketing
219,F,25,4,55113,25-34,college/grad student
220,M,25,12,22903,25-34,programmer
221,F,25,0,94063,25-34,other or not specified
222,M,25,1,55116,25-34,academic/educator
223,M,25,17,28262,25-34,technician/engineer
224,F,18,4,14850,18-24,college/grad student
225,M,25,7,11215,25-34,executive/managerial
226,M,35,1,94518,35-44,academic/educator
227,M,35,20,90291,35-44,writer
228,M,25,15,55455,25-34,scientist
229,M,18,10,4576,18-24,K-12 student
230,M,45,1,43210,45-49,academic/educator
231,M,25,3,55455,25-34,clerical/admin
232,M,25,20,55408,25-34,writer
233,F,45,20,37919-4204,45-49,writer
234,M,35,7,39652,35-44,executive/managerial
235,M,25,0,98153,25-34,other or not specified
236,M,25,5,55126,25-34,customer service
237,M,25,6,46835,25-34,doctor/health care
238,F,50,7,90291,50-55,executive/managerial
239,M,18,19,94618,18-24,unemployed
240,M,50,17,55113,50-55,technician/engineer
241,M,35,20,55121,35-44,writer
242,F,18,4,53706,18-24,college/grad student
243,M,25,16,11576,25-34,self-employed
244,M,50,7,19072,50-55,executive/managerial
245,M,35,16,66046,35-44,self-employed
246,F,18,4,60625,18-24,college/grad student
247,M,25,17,94404,25-34,technician/engineer
248,M,18,17,72703,18-24,technician/engineer
249,F,18,14,48126,18-24,sales/marketing
250,M,35,16,11229,35-44,self-employed
251,M,56,17,55105,56+,technician/engineer
252,M,25,12,94112,25-34,programmer
253,F,25,11,97370,25-34,lawyer
254,M,35,17,49015,35-44,technician/engineer
255,M,35,0,85310,35-44,other or not specified
256,M,45,16,55076,45-49,self-employed
257,M,18,18,55113,18-24,tradesman/craftsman
258,M,25,7,55436,25-34,executive/managerial
259,M,25,1,60615,25-34,academic/educator
260,M,18,19,98126,18-24,unemployed
261,M,25,20,75801,25-34,writer
262,F,25,1,68503,25-34,academic/educator
263,F,25,7,22304,25-34,executive/managerial
264,M,35,0,20755,35-44,other or not specified
265,F,35,7,55116,35-44,executive/managerial
266,M,35,11,75229,35-44,lawyer
267,M,45,12,55001,45-49,programmer
268,F,18,12,29708,18-24,programmer
269,M,25,2,55408,25-34,artist
270,M,50,14,55414,50-55,sales/marketing
271,M,18,4,48202,18-24,college/grad student
272,M,18,0,80302,18-24,other or not specified
273,M,18,4,55427,18-24,college/grad student
274,M,18,4,55455,18-24,college/grad student
275,M,25,0,48162,25-34,other or not specified
276,M,45,16,1982,45-49,self-employed
277,F,35,1,98126,35-44,academic/educator
278,M,45,18,60482,45-49,tradesman/craftsman
279,M,25,14,91214,25-34,sales/marketing
280,M,50,7,19118,50-55,executive/managerial
281,F,35,0,94117,35-44,other or not specified
282,M,25,17,94401,25-34,technician/engineer
283,M,25,0,10003,25-34,other or not specified
284,M,25,12,91910,25-34,programmer
285,F,35,0,94109,35-44,other or not specified
286,M,25,1,54601,25-34,academic/educator
287,M,50,13,94706,50-55,retired
288,F,25,12,97119,25-34,programmer
289,F,25,0,11801,25-34,other or not specified
290,F,25,20,94591,25-34,writer
291,M,35,12,55110,35-44,programmer
292,M,35,7,19406,35-44,executive/managerial
293,M,56,1,55337-4056,56+,academic/educator
294,F,45,9,43147,45-49,homemaker
295,M,18,0,80203,18-24,other or not specified
296,M,50,5,89432,50-55,customer service
297,M,18,2,97211,18-24,artist
298,F,18,4,19010,18-24,college/grad student
299,M,25,12,97370,25-34,programmer
300,M,25,7,78664,25-34,executive/managerial
301,M,18,4,61820,18-24,college/grad student
302,M,18,4,4901,18-24,college/grad student
303,M,25,7,20006,25-34,executive/managerial
304,M,25,0,55414,25-34,other or not specified
305,F,18,0,55414,18-24,other or not specified
306,M,18,0,53051,18-24,other or not specified
307,M,50,16,90027,50-55,self-employed
308,M,25,2,10025,25-34,artist
309,M,25,4,16801,25-34,college/grad student
310,F,18,4,31207,18-24,college/grad student
311,M,18,4,31201,18-24,college/grad student
312,F,50,2,22207,50-55,artist
313,F,18,4,2138,18-24,college/grad student
314,F,56,9,46911,56+,homemaker
315,F,56,1,55105,56+,academic/educator
316,M,56,13,90740,56+,retired
317,M,35,7,38555,35-44,executive/managerial
318,F,56,13,55104,56+,retired
319,F,50,6,33436,50-55,doctor/health care
320,M,35,6,99516,35-44,doctor/health care
321,M,18,4,55128,18-24,college/grad student
322,M,56,17,55117,56+,technician/engineer
323,M,45,12,53716,45-49,programmer
324,M,35,17,55106,35-44,technician/engineer
325,F,50,3,55112,50-55,clerical/admin
326,M,50,11,25302,50-55,lawyer
327,M,35,18,55448,35-44,tradesman/craftsman
328,M,35,12,80401,35-44,programmer
329,M,35,7,2115,35-44,executive/managerial
330,M,56,7,92065,56+,executive/managerial
331,M,25,7,55902,25-34,executive/managerial
332,M,50,1,55109,50-55,academic/educator
333,M,35,2,55410,35-44,artist
334,F,56,2,55113,56+,artist
335,M,35,18,55434,35-44,tradesman/craftsman
336,M,18,0,98765,18-24,other or not specified
337,M,18,19,80205,18-24,unemployed
338,M,35,7,55116,35-44,executive/managerial
339,M,50,7,80207,50-55,executive/managerial
340,F,25,3,28001,25-34,clerical/admin
341,F,56,13,92119,56+,retired
342,M,18,12,55076,18-24,programmer
343,F,35,3,55127,35-44,clerical/admin
344,M,35,14,75034,35-44,sales/marketing
345,M,25,12,94114,25-34,programmer
346,F,25,0,55110,25-34,other or not specified
347,F,56,1,55305,56+,academic/educator
348,M,50,7,55110,50-55,executive/managerial
349,M,1,10,8035,Under 18,K-12 student
350,M,45,20,8035,45-49,writer
351,M,18,4,55105,18-24,college/grad student
352,M,18,4,60115,18-24,college/grad student
353,F,35,7,92625,35-44,executive/managerial
354,M,35,1,55117,35-44,academic/educator
355,M,18,3,55107,18-24,clerical/admin
356,M,56,20,55101,56+,writer
357,M,18,0,98103,18-24,other or not specified
358,F,56,1,20815,56+,academic/educator
359,M,25,17,55128,25-34,technician/engineer
360,M,35,17,28208,35-44,technician/engineer
361,F,25,14,94115,25-34,sales/marketing
362,M,35,20,55407,35-44,writer
363,M,18,10,55419,18-24,K-12 student
364,F,35,1,46815,35-44,academic/educator
365,F,18,4,2138,18-24,college/grad student
366,M,50,15,55126,50-55,scientist
367,M,50,12,55421,50-55,programmer
368,M,25,0,90293,25-34,other or not specified
369,M,35,1,55110,35-44,academic/educator
370,M,18,17,22304,18-24,technician/engineer
371,M,18,4,2141,18-24,college/grad student
372,F,18,4,72227,18-24,college/grad student
373,F,25,2,55347,25-34,artist
374,F,35,14,55346,35-44,sales/marketing
375,M,25,2,55106,25-34,artist
376,M,35,1,80026,35-44,academic/educator
377,M,25,17,55418,25-34,technician/engineer
378,F,18,0,55105,18-24,other or not specified
379,F,35,1,54822,35-44,academic/educator
380,M,25,2,92024,25-34,artist
381,M,35,17,89015,35-44,technician/engineer
382,F,35,20,66205,35-44,writer
383,F,25,7,78757,25-34,executive/managerial
384,M,25,11,55075,25-34,lawyer
385,M,25,6,68131,25-34,doctor/health care
386,M,25,0,55408,25-34,other or not specified
387,F,35,7,55111,35-44,executive/managerial
388,F,25,0,10021,25-34,other or not specified
389,M,25,6,68128,25-34,doctor/health care
390,M,25,4,55405,25-34,college/grad student
391,M,45,11,22122,45-49,lawyer
392,M,18,7,20037,18-24,executive/managerial
393,M,35,17,55402,35-44,technician/engineer
394,M,18,0,55013,18-24,other or not specified
395,M,18,5,55104,18-24,customer service
396,M,25,1,56187,25-34,academic/educator
397,M,35,17,22124,35-44,technician/engineer
398,M,25,17,55454,25-34,technician/engineer
399,F,35,6,55128,35-44,doctor/health care
400,F,18,3,55422,18-24,clerical/admin
401,M,18,0,55129,18-24,other or not specified
402,M,25,11,55427,25-34,lawyer
403,M,18,4,2138,18-24,college/grad student
404,M,18,4,10128,18-24,college/grad student
405,M,56,1,13077,56+,academic/educator
406,M,25,20,55105,25-34,writer
407,M,18,17,89503,18-24,technician/engineer
408,M,25,11,2143,25-34,lawyer
409,M,18,12,55122,18-24,programmer
410,F,25,1,55417,25-34,academic/educator
411,F,45,1,43214,45-49,academic/educator
412,M,35,15,55117,35-44,scientist
413,M,25,11,55409,25-34,lawyer
414,M,25,0,55317,25-34,other or not specified
415,F,35,0,55406,35-44,other or not specified
416,M,45,14,55076,45-49,sales/marketing
417,F,25,0,50613,25-34,other or not specified
418,F,25,3,54016,25-34,clerical/admin
419,M,18,3,55422,18-24,clerical/admin
420,M,35,1,55406,35-44,academic/educator
421,F,45,3,55125,45-49,clerical/admin
422,M,56,17,55104,56+,technician/engineer
423,M,18,4,55455,18-24,college/grad student
424,M,25,17,55112,25-34,technician/engineer
425,M,25,12,55303,25-34,programmer
426,M,18,4,55455,18-24,college/grad student
427,M,35,12,55104,35-44,programmer
428,F,18,4,55455,18-24,college/grad student
429,M,18,0,54901,18-24,other or not specified
430,F,18,10,55306,18-24,K-12 student
431,M,18,10,55303,18-24,K-12 student
432,M,45,16,55306,45-49,self-employed
433,M,50,6,55115,50-55,doctor/health care
434,F,45,3,98155,45-49,clerical/admin
435,M,25,7,55125,25-34,executive/managerial
436,M,18,4,43023,18-24,college/grad student
437,M,35,17,55030,35-44,technician/engineer
438,M,18,11,53705,18-24,lawyer
439,M,35,14,55129,35-44,sales/marketing
440,M,56,1,32940,56+,academic/educator
441,M,35,1,55127,35-44,academic/educator
442,M,25,1,55105,25-34,academic/educator
443,M,25,3,55421,25-34,clerical/admin
444,M,56,0,55108,56+,other or not specified
445,M,45,12,55117,45-49,programmer
446,F,50,0,55042,50-55,other or not specified
447,F,45,11,55105,45-49,lawyer
448,M,25,17,80123,25-34,technician/engineer
449,M,25,7,85037,25-34,executive/managerial
450,M,45,1,24523,45-49,academic/educator
451,M,56,13,54720,56+,retired
452,M,50,17,55117,50-55,technician/engineer
453,M,18,4,55102,18-24,college/grad student
454,M,25,20,55092,25-34,writer
455,F,35,2,55113,35-44,artist
456,M,35,0,55105,35-44,other or not specified
457,M,18,4,54703,18-24,college/grad student
458,M,50,16,55405-2546,50-55,self-employed
459,F,18,4,55105,18-24,college/grad student
460,M,45,18,55313,45-49,tradesman/craftsman
461,M,50,7,55075,50-55,executive/managerial
462,M,18,16,55416,18-24,self-employed
463,M,25,7,55105,25-34,executive/managerial
464,F,18,4,55455,18-24,college/grad student
465,M,18,19,94523,18-24,unemployed
466,M,25,5,55405,25-34,customer service
467,F,35,3,55075,35-44,clerical/admin
468,F,1,10,55082,Under 18,K-12 student
469,M,35,6,55122,35-44,doctor/health care
470,F,1,10,55068,Under 18,K-12 student
471,M,35,7,8904,35-44,executive/managerial
472,M,35,0,55418,35-44,other or not specified
473,F,18,4,55112,18-24,college/grad student
474,M,25,17,92126,25-34,technician/engineer
475,F,25,2,55421,25-34,artist
476,M,35,0,55127,35-44,other or not specified
477,M,35,14,55410,35-44,sales/marketing
478,M,50,16,55113,50-55,self-employed
479,M,25,12,55042,25-34,programmer
480,F,18,4,55422,18-24,college/grad student
481,M,45,7,55115,45-49,executive/managerial
482,M,25,14,55305,25-34,sales/marketing
483,M,18,12,55105,18-24,programmer
484,F,1,10,55104,Under 18,K-12 student
485,M,56,7,55042,56+,executive/managerial
486,M,56,0,91367,56+,other or not specified
487,F,35,17,55082,35-44,technician/engineer
488,M,25,12,55107,25-34,programmer
489,M,18,4,55455,18-24,college/grad student
490,M,1,10,55345,Under 18,K-12 student
491,M,18,4,56043,18-24,college/grad student
492,M,25,12,55112,25-34,programmer
493,M,50,7,55016,50-55,executive/managerial
494,F,35,0,17870,35-44,other or not specified
495,M,18,10,55421,18-24,K-12 student
496,M,18,4,55455,18-24,college/grad student
497,F,25,17,55412,25-34,technician/engineer
498,M,35,17,55113,35-44,technician/engineer
499,F,25,1,55108,25-34,academic/educator
500,F,18,2,55105,18-24,artist
501,M,25,2,55372,25-34,artist
502,M,35,6,55126,35-44,doctor/health care
503,M,35,11,73120,35-44,lawyer
504,M,25,2,17003,25-34,artist
505,M,35,17,37815,35-44,technician/engineer
506,M,25,16,55103-1006,25-34,self-employed
507,F,25,0,55405,25-34,other or not specified
508,M,25,12,55418,25-34,programmer
509,M,25,2,55125,25-34,artist
510,M,18,12,55109,18-24,programmer
511,F,45,4,15232,45-49,college/grad student
512,M,35,0,55379,35-44,other or not specified
513,M,25,0,55119,25-34,other or not specified
514,M,25,2,55113,25-34,artist
515,M,25,1,55406,25-34,academic/educator
516,F,56,14,55033,56+,sales/marketing
517,F,25,14,55408,25-34,sales/marketing
518,F,35,12,75240,35-44,programmer
519,F,35,14,55038,35-44,sales/marketing
520,F,35,20,55104,35-44,writer
521,M,56,7,55105,56+,executive/managerial
522,M,25,12,55124,25-34,programmer
523,M,50,7,55105,50-55,executive/managerial
524,M,18,0,91320,18-24,other or not specified
525,M,35,6,19027,35-44,doctor/health care
526,M,45,17,94806,45-49,technician/engineer
527,F,25,2,11201,25-34,artist
528,F,18,17,83843,18-24,technician/engineer
529,M,35,12,92009,35-44,programmer
530,M,25,2,10019,25-34,artist
531,F,18,14,22206,18-24,sales/marketing
532,M,25,7,94301,25-34,executive/managerial
533,M,25,12,27514,25-34,programmer
534,M,25,15,55902,25-34,scientist
535,M,35,6,95370,35-44,doctor/health care
536,M,25,20,1267,25-34,writer
537,M,45,14,7704,45-49,sales/marketing
538,M,56,16,95407,56+,self-employed
539,M,25,2,55103,25-34,artist
540,M,18,1,15213,18-24,academic/educator
541,F,18,4,5849574,18-24,college/grad student
542,M,18,4,78705,18-24,college/grad student
543,M,25,5,55057,25-34,customer service
544,M,35,12,94538,35-44,programmer
545,M,35,17,1890,35-44,technician/engineer
546,F,25,0,37211,25-34,other or not specified
547,M,35,12,76109,35-44,programmer
548,F,35,16,96860,35-44,self-employed
549,M,25,6,53217,25-34,doctor/health care
550,M,45,8,21559,45-49,farmer
551,M,35,20,55116,35-44,writer
552,M,50,18,23456,50-55,tradesman/craftsman
553,M,25,2,94131,25-34,artist
554,M,25,12,94086,25-34,programmer
555,M,18,4,53213,18-24,college/grad student
556,F,25,9,37221,25-34,homemaker
557,M,56,1,30030,56+,academic/educator
558,M,35,20,55108,35-44,writer
559,F,25,7,60422,25-34,executive/managerial
560,M,45,15,81335,45-49,scientist
561,F,18,14,64060,18-24,sales/marketing
562,M,35,20,48083,35-44,writer
563,M,25,4,53703,25-34,college/grad student
564,M,45,1,49419,45-49,academic/educator
565,M,25,16,45242,25-34,self-employed
566,M,25,17,92122,25-34,technician/engineer
567,M,35,20,52570-9634,35-44,writer
568,F,50,17,19716,50-55,technician/engineer
569,F,18,4,97339,18-24,college/grad student
570,M,25,4,33314,25-34,college/grad student
571,M,50,5,95401,50-55,customer service
572,M,18,4,61801,18-24,college/grad student
573,F,35,2,98119,35-44,artist
574,M,25,19,90214,25-34,unemployed
575,M,25,12,92130,25-34,programmer
576,F,45,15,20910,45-49,scientist
577,M,35,0,2115,35-44,other or not specified
578,M,18,17,90064,18-24,technician/engineer
579,M,25,5,32839,25-34,customer service
580,M,1,10,8534,Under 18,K-12 student
581,M,50,14,73543,50-55,sales/marketing
582,M,18,4,67042,18-24,college/grad student
583,F,25,0,48067,25-34,other or not specified
584,F,25,0,94403,25-34,other or not specified
585,M,18,1,53703,18-24,academic/educator
586,M,35,14,53092,35-44,sales/marketing
587,M,25,20,92649,25-34,writer
588,F,25,11,23220,25-34,lawyer
589,M,18,2,90210,18-24,artist
590,F,35,6,98032,35-44,doctor/health care
591,M,25,0,76201,25-34,other or not specified
592,M,18,0,92103,18-24,other or not specified
593,F,50,1,91711,50-55,academic/educator
594,F,56,13,60076,56+,retired
595,M,25,7,10019,25-34,executive/managerial
596,F,25,1,1950,25-34,academic/educator
597,M,35,12,80206,35-44,programmer
598,M,35,7,95476,35-44,executive/managerial
599,M,50,6,53711,50-55,doctor/health care
600,M,35,17,66209,35-44,technician/engineer
601,F,18,20,6320,18-24,writer
602,F,56,6,14612,56+,doctor/health care
603,F,25,6,32256,25-34,doctor/health care
604,M,45,17,32256,45-49,technician/engineer
605,F,18,4,44425,18-24,college/grad student
606,F,1,10,49507,Under 18,K-12 student
607,M,25,0,43614,25-34,other or not specified
608,M,18,4,18011,18-24,college/grad student
609,M,25,7,10012,25-34,executive/managerial
610,M,25,4,77025,25-34,college/grad student
611,M,35,0,20715,35-44,other or not specified
612,M,50,7,95020,50-55,executive/managerial
613,M,35,20,10562,35-44,writer
614,M,35,1,90024,35-44,academic/educator
615,M,50,17,32951,50-55,technician/engineer
616,M,25,7,94115,25-34,executive/managerial
617,F,25,7,92117,25-34,executive/managerial
618,M,25,0,74105,25-34,other or not specified
619,F,18,1,94706,18-24,academic/educator
620,M,18,0,13210,18-24,other or not specified
621,M,18,4,93560,18-24,college/grad student
622,M,25,0,92612,25-34,other or not specified
623,M,25,17,60555,25-34,technician/engineer
624,M,25,1,75207,25-34,academic/educator
625,F,35,12,44106,35-44,programmer
626,M,18,4,77005,18-24,college/grad student
627,M,50,2,97210,50-55,artist
628,F,35,0,20715,35-44,other or not specified
629,F,1,10,48154,Under 18,K-12 student
630,F,35,14,80525,35-44,sales/marketing
631,M,35,17,28601,35-44,technician/engineer
632,M,45,17,7649,45-49,technician/engineer
633,M,25,17,94131,25-34,technician/engineer
634,F,1,10,49512,Under 18,K-12 student
635,M,56,17,33785,56+,technician/engineer
636,M,18,20,92055,18-24,writer
637,M,35,12,97132,35-44,programmer
638,M,25,6,77584,25-34,doctor/health care
639,M,45,17,85202,45-49,technician/engineer
640,M,18,4,47406,18-24,college/grad student
641,F,35,0,55116,35-44,other or not specified
642,F,35,1,78155,35-44,academic/educator
643,M,25,2,23188,25-34,artist
644,M,25,20,93704,25-34,writer
645,M,35,20,11215,35-44,writer
646,M,35,7,8505,35-44,executive/managerial
647,M,35,12,85224,35-44,programmer
648,F,25,12,94131,25-34,programmer
649,M,25,4,80526,25-34,college/grad student
650,M,25,17,49445,25-34,technician/engineer
651,M,35,7,20895,35-44,executive/managerial
652,M,18,20,12222,18-24,writer
653,M,56,13,92660,56+,retired
654,M,50,7,75023,50-55,executive/managerial
655,F,25,2,92629,25-34,artist
656,F,45,16,92106,45-49,self-employed
657,F,50,13,34691,50-55,retired
658,F,25,0,10021,25-34,other or not specified
659,F,25,0,28134,25-34,other or not specified
660,M,45,16,70507,45-49,self-employed
661,M,45,1,13114,45-49,academic/educator
662,M,18,4,99163,18-24,college/grad student
663,F,25,7,12345,25-34,executive/managerial
664,M,35,18,74601,35-44,tradesman/craftsman
665,M,18,2,13317,18-24,artist
666,F,18,0,8540,18-24,other or not specified
667,M,25,18,98438,25-34,tradesman/craftsman
668,F,25,3,22042,25-34,clerical/admin
669,M,25,17,30307,25-34,technician/engineer
670,M,25,12,30303,25-34,programmer
671,M,18,4,61761,18-24,college/grad student
672,M,35,7,46845,35-44,executive/managerial
673,M,25,20,10023,25-34,writer
674,M,25,17,22042,25-34,technician/engineer
